applicationNumber,sendNumber,attachmentfileContent_raw,citations,kr_citations,has_29_1,domain
1020200055530,952022023996807,"첨부1 공개특허공보 제10-2012-0090492호(2012.08.17.) 1부.<BR>첨부2 공개특허공보 제10-2002-0032010호(2002.05.03.) 1부.<BR>첨부3 공개특허공보 제10-2017-0031369호(2017.03.21.) 1부.<BR>첨부4 김병운 외 4인, ‘얼굴인식 기술을 통한 온라인 시험 부정행위 방지 시스템 설계’, 대한산업공학회 추계학술대회 논문집, 대한산업공학회, 2704-2714(11p), 2016.11 끝.","[{'인용발명번호': '', '식별자': '공개특허공보 제10-2012-0090492호', '날짜': '2012.08.17.', '국내': True}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2002-0032010호', '날짜': '2002.05.03.', '국내': True}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2017-0031369호', '날짜': '2017.03.21.', '국내': True}]","[{'인용발명번호': '', '식별자': '공개특허공보 제10-2012-0090492호', '날짜': '2012.08.17.', '국내': True}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2002-0032010호', '날짜': '2002.05.03.', '국내': True}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2017-0031369호', '날짜': '2017.03.21.', '국내': True}]",False,안면인식
1020200097675,952022021802531,첨부1 공개특허공보 제10-2012-0090492호(2012.08.17.) 1부.<BR>첨부2 공개특허공보 제10-2017-0031369호(2017.03.21.) 1부.<BR>첨부3 얼굴인식 기술을 통한 온라인 시험 부정행위 방지 시스템 설계 2016.11.30<BR>첨부4 공개특허공보 제10-2002-0032010호(2002.05.03.) 1부.<BR>첨부5 공개특허공보 제10-2018-0050968호(2018.05.16.) 1부.<BR>첨부6 일본 공개특허공보 특개2014-064186호(2014.04.10.) 1부.<BR>첨부7 공개특허공보 제10-2012-0134286호(2012.12.12.) 1부. 끝.,"[{'인용발명번호': '', '식별자': '공개특허공보 제10-2012-0090492호', '날짜': '2012.08.17.', '국내': True}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2017-0031369호', '날짜': '2017.03.21.', '국내': True}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2002-0032010호', '날짜': '2002.05.03.', '국내': True}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2018-0050968호', '날짜': '2018.05.16.', '국내': True}, {'인용발명번호': '', '식별자': '일본 공개특허공보 특개2014-064186호', '날짜': '2014.04.10.', '국내': False}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2012-0134286호', '날짜': '2012.12.12.', '국내': True}]","[{'인용발명번호': '', '식별자': '공개특허공보 제10-2012-0090492호', '날짜': '2012.08.17.', '국내': True}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2017-0031369호', '날짜': '2017.03.21.', '국내': True}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2002-0032010호', '날짜': '2002.05.03.', '국내': True}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2018-0050968호', '날짜': '2018.05.16.', '국내': True}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2012-0134286호', '날짜': '2012.12.12.', '국내': True}]",False,안면인식
1020200035563,952021014279710,첨부1 공개특허공보 제10-2018-0031552호(2018.03.28.) 1부.<BR>첨부2 미국 특허출원공개공보 US2019/0130168호(2019.05.02.) 1부. 끝.,"[{'인용발명번호': '', '식별자': '공개특허공보 제10-2018-0031552호', '날짜': '2018.03.28.', '국내': True}, {'인용발명번호': '', '식별자': '미국 특허출원공개공보 US2019/0130168호', '날짜': '2019.05.02.', '국내': False}]","[{'인용발명번호': '', '식별자': '공개특허공보 제10-2018-0031552호', '날짜': '2018.03.28.', '국내': True}]",False,안면인식
1020200035563,952021063227313,첨부1 공개특허공보 제10-2018-0031552호(2018.03.28.) 1부.<BR>첨부2 미국 특허출원공개공보 US2019/0130168호(2019.05.02.) 1부.<BR>첨부3 등록특허공보 제10-1517411호(2015.05.04.) 1부. 끝.,"[{'인용발명번호': '', '식별자': '공개특허공보 제10-2018-0031552호', '날짜': '2018.03.28.', '국내': True}, {'인용발명번호': '', '식별자': '미국 특허출원공개공보 US2019/0130168호', '날짜': '2019.05.02.', '국내': False}, {'인용발명번호': '', '식별자': '등록특허공보 제10-1517411호', '날짜': '2015.05.04.', '국내': True}]","[{'인용발명번호': '', '식별자': '공개특허공보 제10-2018-0031552호', '날짜': '2018.03.28.', '국내': True}, {'인용발명번호': '', '식별자': '등록특허공보 제10-1517411호', '날짜': '2015.05.04.', '국내': True}]",False,안면인식
1020200007315,952021029927918,첨부1 일본 공개특허공보 특개2007-285006호(2007.11.01.) 1부.<BR>첨부2 공개특허공보 제10-2015-0087066호(2015.07.29.) 1부.<BR>첨부3 등록특허공보 제10-1999202호(2019.07.11.) 1부.<BR>첨부4 등록특허공보 제10-1537225호(2015.07.16.) 1부. 끝.,"[{'인용발명번호': '', '식별자': '일본 공개특허공보 특개2007-285006호', '날짜': '2007.11.01.', '국내': False}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2015-0087066호', '날짜': '2015.07.29.', '국내': True}, {'인용발명번호': '', '식별자': '등록특허공보 제10-1999202호', '날짜': '2019.07.11.', '국내': True}, {'인용발명번호': '', '식별자': '등록특허공보 제10-1537225호', '날짜': '2015.07.16.', '국내': True}]","[{'인용발명번호': '', '식별자': '공개특허공보 제10-2015-0087066호', '날짜': '2015.07.29.', '국내': True}, {'인용발명번호': '', '식별자': '등록특허공보 제10-1999202호', '날짜': '2019.07.11.', '국내': True}, {'인용발명번호': '', '식별자': '등록특허공보 제10-1537225호', '날짜': '2015.07.16.', '국내': True}]",False,안면인식
1020240026280,952025097689316,첨부1  공개특허공보 제10-2013-0011442호(2013.01.30.) 1부.<BR>첨부2  중국특허공개공보 114608105(2022.06.10.) 1부.  끝.,"[{'인용발명번호': '', '식별자': '공개특허공보 제10-2013-0011442호', '날짜': '2013.01.30.', '국내': True}, {'인용발명번호': '', '식별자': '중국특허공개공보 114608105', '날짜': '2022.06.10.', '국내': False}]","[{'인용발명번호': '', '식별자': '공개특허공보 제10-2013-0011442호', '날짜': '2013.01.30.', '국내': True}]",False,풍력발전
1020200033718,952021035714357,첨부1 공개특허공보 제10-2015-0101861호(2015.09.04.) 1부.<BR>첨부2 일본 공개특허공보 특개2011-226791호(2011.11.10.) 1부.<BR>첨부3 공개특허공보 제10-2018-0020724호(2018.02.28.) 1부. 끝.,"[{'인용발명번호': '', '식별자': '공개특허공보 제10-2015-0101861호', '날짜': '2015.09.04.', '국내': True}, {'인용발명번호': '', '식별자': '일본 공개특허공보 특개2011-226791호', '날짜': '2011.11.10.', '국내': False}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2018-0020724호', '날짜': '2018.02.28.', '국내': True}]","[{'인용발명번호': '', '식별자': '공개특허공보 제10-2015-0101861호', '날짜': '2015.09.04.', '국내': True}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2018-0020724호', '날짜': '2018.02.28.', '국내': True}]",False,풍력발전
1020180163167,952019092933237,첨부1 미국 특허출원공개공보 US2005/0008472호(2005.01.13.) 1부.<BR>첨부2 공개특허공보 제10-2012-0080294호(2012.07.17.) 1부.<BR>첨부3 일본 공개특허공보 특개2002-039050호(2002.02.06.) 1부. 끝.,"[{'인용발명번호': '', '식별자': '미국 특허출원공개공보 US2005/0008472호', '날짜': '2005.01.13.', '국내': False}, {'인용발명번호': '', '식별자': '공개특허공보 제10-2012-0080294호', '날짜': '2012.07.17.', '국내': True}, {'인용발명번호': '', '식별자': '일본 공개특허공보 특개2002-039050호', '날짜': '2002.02.06.', '국내': False}]","[{'인용발명번호': '', '식별자': '공개특허공보 제10-2012-0080294호', '날짜': '2012.07.17.', '국내': True}]",False,풍력발전
1020120115775,952013073917254,첨부1 일본 공개특허공보 특개2006-177264호(2006.07.06.) 1부.첨부2 등록특허공보 제10-0888030호(2009.03.09.) 1부. 끝.,"[{'인용발명번호': '', '식별자': '일본 공개특허공보 특개2006-177264호', '날짜': '2006.07.06.', '국내': False}, {'인용발명번호': '', '식별자': '등록특허공보 제10-0888030호', '날짜': '2009.03.09.', '국내': True}]","[{'인용발명번호': '', '식별자': '등록특허공보 제10-0888030호', '날짜': '2009.03.09.', '국내': True}]",False,풍력발전
1020110087732,952012076466266,첨부1 공개특허공보 제10-2011-0041857호(2011.04.22.) 1부. 끝.,"[{'인용발명번호': '', '식별자': '공개특허공보 제10-2011-0041857호', '날짜': '2011.04.22.', '국내': True}]","[{'인용발명번호': '', '식별자': '공개특허공보 제10-2011-0041857호', '날짜': '2011.04.22.', '국내': True}]",False,풍력발전
1020110087720,952012075714700,첨부1 공개특허공보 제10-2011-0090567호(2011.08.10.) 1부. 끝.,"[{'인용발명번호': '', '식별자': '공개특허공보 제10-2011-0090567호', '날짜': '2011.08.10.', '국내': True}]","[{'인용발명번호': '', '식별자': '공개특허공보 제10-2011-0090567호', '날짜': '2011.08.10.', '국내': True}]",False,풍력발전
1020107028793,952012047655365,첨부1 공개특허공보 제10-2003-0096291호(2003.12.24.) 1부. 끝.,"[{'인용발명번호': '', '식별자': '공개특허공보 제10-2003-0096291호', '날짜': '2003.12.24.', '국내': True}]","[{'인용발명번호': '', '식별자': '공개특허공보 제10-2003-0096291호', '날짜': '2003.12.24.', '국내': True}]",False,풍력발전
